policy_id,country_iso,country_update,policy_name,policy_title,jurisdiction,supranational_region,country,subnational_region,policy_city_or_local,policy_instrument,sector,policy_description,policy_type,stringency,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,reference,last_update,impact_indicators.comments,impact_indicators.name,impact_indicators.value,impact_indicators.base_year,impact_indicators.target_year
211001269,CAN,Annual,GHGs Formally Designated as Pollutants,GHGs Formally Designated as Pollutants Canada (2005),Country,,Canada,,,Regulatory Instruments,General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,In force,2005.0,,,Unknown,Mitigation,http://www.ec.gc.ca/CEPARegistry/subs_list/ToxicList.cfm,,,,,,
211002561,CAN,Annual,Reporting Rules for Industrial Greenhouse Gas Emissions,Reporting Rules for Industrial Greenhouse Gas Emissions Canada (2005),Country,,Canada,,,Regulatory Instruments,Industry,,"Non-energy use, Energy service demand reduction and resource efficiency, Energy efficiency",,Ended,2005.0,,,Unknown,Mitigation,http://www.ec.gc.ca/pdb/ghg/facility_e.cfm,,,,,,
211000187,CAN,Annual,Amendment 12B to the Energy efficiency Regulations,Amendment 12B to the Energy efficiency Regulations Canada (2013),Country,,Canada,,,Product standards,"Buildings, Appliances",Target: zero incandescent light bulbs (sold) after 2013,Energy efficiency,,In force,2013.0,2013.0,,unclear,Mitigation,https://www.nrcan.gc.ca/energy-efficiency/energy-efficiency-regulations/regulatory-announcements/amendment-12b/12342,,,,,,
211002169,CAN,Annual,Off-Road Compression-Ignition Engine Emission Regulations,Off-Road Compression-Ignition Engine Emission Regulations Canada (2011),Country,,Canada,,,Vehicle fuel-economy and emissions standards,"Transport, Heavy-duty vehicles",,Energy efficiency,,In force,2011.0,,,Unknown,Mitigation,http://www.ec.gc.ca/lcpe-cepa/eng/regulations/detailreg.cfm?intReg=88,,,,,,
211003317,CAN,Annual,British Columbia Carbon Tax,British Columbia Carbon Tax Canada (2007),Subnational region,,Canada,British Columbia,,CO2 taxes,General,"In 2008, the province implemented North America’s first broad-based carbon tax","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,In force,2007.0,2007.0,,High,Mitigation,https://www.cbc.ca/news/canada/british-columbia/carbon-tax-bc-1.5083734,,,,,,
211000581,CAN,Annual,Consumer Information,Consumer Information Canada (2001),Country,,Canada,,,"Information provision, Policy support",Electricity and heat,,"Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,Superseded,2001.0,,,Unknown,Mitigation,http://www.nrcan.gc.ca,,,,,,
211002394,CAN,Annual,R-2000 Home Program,R-2000 Home Program Canada (1982),Country,,Canada,,,"Information and education, Performance label, Endorsement label, Voluntary approaches",Buildings,,Energy efficiency,,Ended,1982.0,,2007.0,Unknown,Mitigation,https://www.nrcan.gc.ca/homes/buying-energy-efficient-new-home/r-2000-environmentally-friendly-homes/20575,,,,,,
211001198,CAN,Annual,Forest Innovation Program,Forest Innovation Program Canada (2012),Country,,Canada,,,RD&D funding,"Agriculture and forestry, Forestry","""The Forest Innovation Program (FIP) was established to support research, development and technology transfer activities in Canada’s forest sector. Together, these activities are intended to help the sector pursue its ongoing transformation through the adoption of emerging technologies ready for commercialization. Under Budget 2012, the federal government invested $105 million, over two years, to support Canada’s forest sector. The funding is targeted at fostering innovation and expanding market opportunities for the sector. Additional funding of $92 million, over two years, was announced under Budget 2013 to further support market diversification and forest sector innovation. This funding is available until March 31, 2016.""","Energy service demand reduction and resource efficiency, Non-energy use",,In force,2012.0,,,Unknown,Economic development,http://www.nrcan.gc.ca/forests/federal-programs/13137,,,,,,
211000382,CAN,Annual,Canadian emissions trading scheme,Canadian emissions trading scheme Canada (2006),Country,,Canada,,,"Policy support, GHG emissions allowances","Industry, Electricity and heat",,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,In force,2006.0,2016.0,,Unknown,Mitigation,https://www.thecanadianencyclopedia.ca/en/article/carbon-pricing-in-canada,07/02/2023,,,,,
211002170,CAN,Annual,Off-Road Large Spark-Ignition Engine Emission Regulations,Off-Road Large Spark-Ignition Engine Emission Regulations Canada (2020),Country,,Canada,,,Vehicle fuel-economy and emissions standards,"Transport, Heavy-duty vehicles",,Energy efficiency,,In force,2020.0,,,Unknown,Mitigation,https://laws.justice.gc.ca/eng/regulations/SOR-2020-258/index.html,,,,,,
211002993,CAN,Annual,Vehicle Idling Campaign - Saskatchewan,Vehicle Idling Campaign - Saskatchewan Canada (2003),Subnational region,,Canada,,,Policy support,Transport,,Energy efficiency,,In force,2003.0,,,Unknown,Mitigation,https://www.saskatchewan.ca/government/news-and-media/2003/june/04/vehicle-idling-campaign-launched-on-clean-air-day,,,,,,
211002524,CAN,Annual,Renewable Fuel Regulations,Renewable Fuel Regulations Canada (2011),Country,,Canada,,,Other mandatory requirements,Transport,,Renewables,,In force,2011.0,,,Unknown,Mitigation,http://unfccc.int/files/national_reports/annex_i_natcom/submitted_natcom/application/pdf/nc6_can_resubmission_english.pdf,,,,,,
211000073,CAN,Annual,Aboriginal and Northern Climate Change Program,Aboriginal and Northern Climate Change Program Canada (2001),Subnational region,,Canada,,,Policy support,General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,Ended,2001.0,,,Unknown,Mitigation,https://www.rcaanc-cirnac.gc.ca/eng/1100100034249/1594735106676,,,,,,
211000770,CAN,Annual,Intended Nationally Determined Contribution - INDC,Intended Nationally Determined Contribution - INDC Canada (2015),Country,,Canada,,,"GHG reduction target, Political & non-binding GHG reduction target",General,Reduce by 30% below 2005 levels by 2030.,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,Superseded,2015.0,,,High,Mitigation,http://www4.unfccc.int/submissions/INDC/Published%20Documents/Canada/1/INDC%20-%20Canada%20-%20English.pdf,,"CD-LINKS policy status: planned, {{{Comments}}}",GHG emissions reduction (%),30,2005,2030
211000760,CAN,Annual,EcoENERGY for Renewable Power,EcoENERGY for Renewable Power Canada (2007),Country,,Canada,,,Grants and subsidies,"Electricity and heat, Renewables","""The program offers an incentive of 1¢ per kilowatt-hour of electricity produced over a period of ten years from a qualifying low-impact renewable energy project built before March 31, 2011."" (Annex to Canada's 2nd Biennial Report, 2016)",Renewables,,Ended,2007.0,2007.0,2011.0,High,Mitigation,http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/annex_to_canadas_2nd_biennial_report_pams_table_en.pdf,,,,,,
211001783,CAN,Annual,Manitoba Hydro Lowers Interest Rate on Power Smart Loans,Manitoba Hydro Lowers Interest Rate on Power Smart Loans Canada (2003),Subnational region,,Canada,,,Fiscal or financial incentives,Electricity and heat,,Renewables,,In force,2003.0,,,Unknown,Mitigation,"https://news.gov.mb.ca/news/print,index.html?item=26656",,,,,,
211002130,CAN,Annual,New royalty program to promote the development of carbon dioxide enhanced oil and gas recovery industry in Alberta,New royalty program to promote the development of carbon dioxide enhanced oil and gas recovery industry in Alberta Canada (2003),Subnational region,,Canada,,,Fiscal or financial incentives,Industry,,"Energy service demand reduction and resource efficiency, Energy efficiency",,In force,2003.0,,,Unknown,Mitigation,http://www.gov.ab.ca/acn/200305/14414.html,,,,,,
211000166,CAN,Annual,Alberta Removal of Barriers,Alberta Removal of Barriers Canada (1999),Subnational region,,Canada,,,Voluntary approaches,Industry,,"Other low-carbon technologies and fuel switch, Non-energy use",,In force,1999.0,,,Unknown,Mitigation,https://open.alberta.ca/dataset/f1e75d66-778c-42a6-9172-3598ab48460f/resource/d3cc76ea-9d26-458a-9cf0-7ca9f52aab96/download/goa-alberta-government-vcr-action-plan-on-climate-change-progress-report-1999-2000-5904.pdf,,,,,,
211105493,CAN,Annual,CIB growth plan,CIB growth plan Canada (2020),Country,,Canada,,,"Fiscal or financial incentives, Grants and subsidies, Loans, Direct investment, Voluntary approaches, Negotiated agreements (public-private sector)","Electricity and heat, Buildings, Transport, Agriculture and forestry","This is a CAD 10 billion, three year investment plan focused on 5 pillars:
-Clean power generation, storage and transmission (CAD 2.5 billion)
-Broadband connectivity (CAD 2 billion)
-Building energy efficiency retrofits (CAD 2 billion)
-Agriculture irrigation projects (CAD 1.5 billion)
- Zero-emission buses and charging infrastructure (CAD 1.5 billion)","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2020.0,2021.0,2024.0,,Mitigation,https://cdn.cib-bic.ca/files/documents/reports/en/Corporate-Plan-2020-21-to-2024-25.pdf,01/10/2021,,,,,
211001598,CAN,Annual,Kyoto Protocol Implementation Act,Kyoto Protocol Implementation Act Canada (2007),Country,,Canada,,,"Regulatory Instruments, Formal & legally binding climate strategy",General,The act mandates the development of annual Climate Change Plans to achieve target under Kyoto Protocol.,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,Ended,2007.0,,2012.0,Unknown,Mitigation,http://laws-lois.justice.gc.ca/eng/acts/K-9.5/20070622/P1TT3xt3.html,,,,,,
211002131,CAN,Annual,New source emission guidelines for thermal electricity generation,New source emission guidelines for thermal electricity generation Canada (2003),Country,,Canada,,,"Other mandatory requirements, Sectoral standards","Electricity and heat, Industry",,Non-energy use,,In force,2003.0,,,Unknown,Air pollution,http://publications.gc.ca/gazette/archives/p1/2003/2003-01-04/pdf/g1-13701.pdf,,,,,,
211105483,CAN,Annual,2 Billion Trees Commitment,2 Billion Trees Commitment Canada (2021),Country,,Canada,,,"Direct investment, Voluntary approaches, Public voluntary schemes","Agriculture and forestry, Forestry",Initiative to plant two billion trees on Canadian territory over a 10-year period,Non-energy use,,In force,2021.0,2021.0,2030.0,,Mitigation,https://www.canada.ca/en/campaign/2-billion-trees.html,01/10/2021,,,,,
211000186,CAN,Annual,Amendment 12 to the Energy efficiency Regulations,Amendment 12 to the Energy efficiency Regulations Canada (2011),Country,,Canada,,,Codes and standards,"Buildings, Appliances",,Energy efficiency,,Superseded,2011.0,,,Unknown,Mitigation,https://natural-resources.canada.ca/energy-efficiency/energy-efficiency-regulations/guide-canadas-energy-efficiency-regulations/6861,,,,,,
211000762,CAN,Annual,EcoENERGY for Industry,EcoENERGY for Industry Canada (2007),Country,,Canada,,,"Negotiated agreements (public-private sector), Information provision, Strategic planning, Infrastructure investments, Grants and subsidies","Industry, General, Industrial energy related",,Energy efficiency,,Superseded,2007.0,,2011.0,Unknown,Mitigation,http://www.ecoaction.gc.ca/index-eng.cfm,,,,,,
211001790,CAN,Annual,Marine Vessel Fuel Efficiency Regulations,Marine Vessel Fuel Efficiency Regulations Canada (2013),Country,,Canada,,,"Codes and standards, Vehicle fuel-economy and emissions standards","Transport, Shipping","These Regulations implement the energy efficiency requirements negotiated under the International Maritime Organization’s International Convention for the Prevention of Pollution from Ships. The Regulations apply to all ships above 400 gross tonnes. All
ships are required to maintain a Ship Energy Efficiency Management Plan that details plans for optimizing fuel efficiency. Additionally, new ships on international trade routes must meet Energy Efficiency Design Index requirements that phase in increasing efficiency targets from 2015 to 2025.
Target: 30% energy efficiency improvement by 2025",Energy efficiency,,In force,2013.0,2013.0,,unclear,Mitigation,http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/annex_to_canadas_2nd_biennial_report_pams_table_en.pdf,,,,,,
211105500,CAN,Annual,Codes and Standards for Low Carbon Vehicles and Refuelling Infrastructure,Codes and Standards for Low Carbon Vehicles and Refuelling Infrastructure Canada (2018),Country,,Canada,,,"Regulatory Instruments, Codes and standards, Product standards","Transport, Low-emissions mobility","This regulation establishes safety and technical codes for low-carbon vehicle components and refuelling infrastructure, aligning Canada's standards with those in the USA",Other low-carbon technologies and fuel switch,,In force,2018.0,,,,Mitigation,https://www.nrcan.gc.ca/energy-efficiency/energy-efficiency-regulations/regulatory-co-operation/17308?wbdisable=true,01/10/2021,,,,,
211002422,CAN,Annual,Reducing Barriers to Inter-provincial Trade and Transmission of Electricity,Reducing Barriers to Inter-provincial Trade and Transmission of Electricity Canada (2001),Country,,Canada,,,"Policy support, Infrastructure investments","Electricity and heat, Renewables, Nuclear",,"Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,In force,2001.0,,,Unknown,Mitigation,http://www.nrcan.gc.ca,,,,,,
211001980,CAN,Annual,National Fuel Cell Research and Innovation Initiative,National Fuel Cell Research and Innovation Initiative Canada (1999),Country,,Canada,,,"Policy support, Research & Development and Deployment (RD&D)",Transport,,Other low-carbon technologies and fuel switch,,In force,1999.0,,,Unknown,Mitigation,http://www.nrc-cnrc.gc.ca/eng/ibp/ifci/about/index.html,,,,,,
